,Date,Time,URL,Title,Location,Committee,Date Scraped,video_url,index,collection,packageId,granuleId,detailsLink,pdfLink,htmlLink,xmlLink,otherLink1,otherLink2,teaser,historical,publishdate
13,4/28/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=54655DCA-CB16-49C2-8A87-E32C4765F5B2,Hearing on the Fiscal Year 2022 Proposed Budget for the US Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw042821&auto_play=false,9.0,Congressional Hearings,CHRG-117shrg45187,CHRG-117shrg45187,https://www.govinfo.gov/app/details/CHRG-117shrg45187/CHRG-117shrg45187,https://www.govinfo.gov/content/pkg/CHRG-117shrg45187/pdf/CHRG-117shrg45187.pdf,https://www.govinfo.gov/content/pkg/CHRG-117shrg45187/html/CHRG-117shrg45187.htm,,,," AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION APRIL 28, 2021 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 45-187 PDF WASHINGTON : 2021 COMMITTEE ON ...",,2021-04-28
17,3/17/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=DE00984F-4EC0-4CD9-BA77-A781E4F94DA1,Examining the Challenges Facing Drinking Water and Wastewater Infrastructure Projects,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031721&auto_play=false,25.0,Congressional Hearings,CHRG-117shrg44459,CHRG-117shrg44459,https://www.govinfo.gov/app/details/CHRG-117shrg44459/CHRG-117shrg44459,https://www.govinfo.gov/content/pkg/CHRG-117shrg44459/pdf/CHRG-117shrg44459.pdf,https://www.govinfo.gov/content/pkg/CHRG-117shrg44459/html/CHRG-117shrg44459.htm,,,," AND PUBLIC WORKS AND THE SUBCOMMITTEE ON FISHERIES, WATER, AND WILDLIFE UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION MARCH 17, 2021 Printed for the use of the Senate Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov EXAMINING THE ...",,2021-03-17
18,3/10/21,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=B26712B4-FE3B-4259-A3C6-82FDCA9B9949,Building Back Better Addressing Climate Change in the Electricity Sector and Fostering Economic Growth,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw031021&auto_play=false,28.0,Congressional Hearings,CHRG-117shrg44197,CHRG-117shrg44197,https://www.govinfo.gov/app/details/CHRG-117shrg44197/CHRG-117shrg44197,https://www.govinfo.gov/content/pkg/CHRG-117shrg44197/pdf/CHRG-117shrg44197.pdf,https://www.govinfo.gov/content/pkg/CHRG-117shrg44197/html/CHRG-117shrg44197.htm,,,," ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SEVENTEENTH CONGRESS FIRST SESSION MARCH 10, 2021 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 44-197 PDF WASHINGTON : 2021...",,2021-03-10
25,9/23/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=D5185E02-178C-42B6-81DD-B3D16A765E78,Modernizing the Endangered Species Act Legislative Hearing on S 4589 the Endangered Species Act Amendments of 2020,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw092320&auto_play=false,9.0,Congressional Hearings,CHRG-116shrg43458,CHRG-116shrg43458,https://www.govinfo.gov/app/details/CHRG-116shrg43458/CHRG-116shrg43458,https://www.govinfo.gov/content/pkg/CHRG-116shrg43458/pdf/CHRG-116shrg43458.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg43458/html/CHRG-116shrg43458.htm,,,," COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION SEPTEMBER 23, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov MODERNIZING THE ENDANGERED SPECIES ACT: LEGISLATIVE...",,2020-09-23
28,8/19/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=5EB595BE-E04D-4809-BEE8-133FDEDD5929,Energy and Environmental Innovation Wyomings Leadership in Using and Storing Carbon Dioxide Emissions,,Enviroment,2021-09-07,,17.0,Congressional Hearings,CHRG-116shrg42119,CHRG-116shrg42119,https://www.govinfo.gov/app/details/CHRG-116shrg42119/CHRG-116shrg42119,https://www.govinfo.gov/content/pkg/CHRG-116shrg42119/pdf/CHRG-116shrg42119.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg42119/html/CHRG-116shrg42119.htm,,,," ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION AUGUST 19, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 42-119PDF WASHINGTON : 2020 ...",,2020-08-19
31,7/22/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=65B2FBBB-9AD4-4A3E-84EC-2148406B271D,Stopping the Spread Examining the Increased Risk of Zoonotic Disease from Illegal Wildlife Trafficking,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw072220&auto_play=false,27.0,Congressional Hearings,CHRG-116shrg42133,CHRG-116shrg42133,https://www.govinfo.gov/app/details/CHRG-116shrg42133/CHRG-116shrg42133,https://www.govinfo.gov/content/pkg/CHRG-116shrg42133/pdf/CHRG-116shrg42133.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg42133/html/CHRG-116shrg42133.htm,,,," ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JULY 22, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 42-133 PDF WASHINGTON : 2020 ...",,2020-07-22
32,7/1/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=3DDCB73F-C8C2-44F2-823E-68D9EE05A9F8,Better Faster Cheaper Smarter and Stronger Infrastructure Development Opportunities to Drive Economic Recovery and Resiliency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw070120&auto_play=false,34.0,Congressional Hearings,CHRG-116shrg40974,CHRG-116shrg40974,https://www.govinfo.gov/app/details/CHRG-116shrg40974/CHRG-116shrg40974,https://www.govinfo.gov/content/pkg/CHRG-116shrg40974/pdf/CHRG-116shrg40974.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg40974/html/CHRG-116shrg40974.htm,,,," BEFORE THE COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS UNITED STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JULY 1, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 40-974 PDF ...",,2020-07-01
34,6/17/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=9243CF3C-41EA-4D1C-A4A4-E60CAA9F503B,Responding to the Challenges Facing Recycling in the United States,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw061720&auto_play=false,45.0,Congressional Hearings,CHRG-116shrg41242,CHRG-116shrg41242,https://www.govinfo.gov/app/details/CHRG-116shrg41242/CHRG-116shrg41242,https://www.govinfo.gov/content/pkg/CHRG-116shrg41242/pdf/CHRG-116shrg41242.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg41242/html/CHRG-116shrg41242.htm,,,," STATES SENATE ONE HUNDRED SIXTEENTH CONGRESS SECOND SESSION JUNE 17, 2020 Printed for the use of the Committee on Environment and Public Works Available via the World Wide Web: http://www.govinfo.gov RESPONDING TO THE CHALLENGES FACING RECYCLING IN THE UNITED STATES S. Hrg. 116-255 RESPONDING TO THE CHALLENGES FACING RECYCLING IN THE UNITED ...",,2020-06-17
35,6/4/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=60F7F92C-AE2B-40BB-ABEC-2626F1B5D4E3,Infrastructure The Road to Recovery,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw060420&auto_play=false,49.0,Congressional Hearings,CHRG-116shrg41135,CHRG-116shrg41135,https://www.govinfo.gov/app/details/CHRG-116shrg41135/CHRG-116shrg41135,https://www.govinfo.gov/content/pkg/CHRG-116shrg41135/pdf/CHRG-116shrg41135.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg41135/html/CHRG-116shrg41135.htm,,,," CONGRESS SECOND SESSION JUNE 4, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 41-135 PDF WASHINGTON : 2020 COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS ONE HUNDRED SIXTEENTH CONGRESS ...",,2020-06-04
36,5/20/20,10:00 AM,https://www.epw.senate.gov/public/index.cfm/hearings?ID=AEBB7217-CF07-4D4F-B661-BD0A8996A2DB,Oversight of the Environmental Protection Agency,,Enviroment,2021-09-07,https://www.senate.gov/isvp?type=live&comm=epw&filename=epw052020&auto_play=false,55.0,Congressional Hearings,CHRG-116shrg42849,CHRG-116shrg42849,https://www.govinfo.gov/app/details/CHRG-116shrg42849/CHRG-116shrg42849,https://www.govinfo.gov/content/pkg/CHRG-116shrg42849/pdf/CHRG-116shrg42849.pdf,https://www.govinfo.gov/content/pkg/CHRG-116shrg42849/html/CHRG-116shrg42849.htm,,,," HUNDRED SIXTEENTH CONGRESS SECOND SESSION MAY 20, 2020 Printed for the use of the Committee on Environment and Public Works [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available via the World Wide Web: http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 42-849 PDF WASHINGTON : 2021 COMMITTEE ON ENVIRONMENT AND PUBLIC WORKS ONE HUNDRED ...",,2020-05-20
